Planta,Fecha Levantamiento,Ubicacion,Total Imagenes,Imagenes Etiquetadas,Total de fallas,StringDesconectado,StringCortoCircuito,ModuloCircuitoAbierto,BusBar,ModuloCortoCircuito,CelulaCaliente,ByPass,PID,Tracker Fuera de Pos
Campos del Sol,12/2023,"PREDATOR-E, PREDATOR-F",132265,4691,16887,8,0,0,1929,119,14688,0,0,143
Finis Terrae,12/2023,PREDATOR-E,40595,23323,52052,12781,32,0,28285,387,10461,0,0,106
Lalakama,12/2023,"AD-Pan-05, AD-PAN-TR01",29980,18744,40203,54,0,133,18285,9721,12010,0,0,0
MEM,11/2023,AD-Pan-04,917,69,100,0,0,0,26,0,74,0,0,0
Pampa Norte,04/2023,AD-Pan-02,21065,3206,3969,36,0,0,3572,263,98,0,0,0
Finis Terrae,04/2023,AD-Pan-02,16651,7692,16175,2717,0,10,11459,489,1500,0,0,0
PV,09/2023,AD-Pan-02,9852,4490,34039,6,0,3,68,61,33538,0,0,363
Solek-MEM,11/2023,AD-Pan-04,917,69,100,0,0,0,26,0,74,0,0,0
Finis Terrae Ext,10/2023,AD-Pan-04,18217,113,134,26,0,0,90,0,18,0,0,0
PLS,10/2023,AD-Pan-04,563,144,245,40,0,0,157,10,19,0,6,13
VDS,10/2023,PREDATOR-E,39415,4783,28915,58,0,3,250,3,28441,0,0,160
Sol de Lila,12/2023,PREDATOR-F,63609,10000,25146,971,0,8,898,3120,18307,0,0,1842
Domeyko,09/2023,PREDATOR-E,30046,3779,16728,63,0,2,656,149,14611,0,0,1247
